time_intro,source,destination,size_in_country
0.4678000000000434,Africa,Region_7,1
0.037993999999997904,Asia,Region_3,1
0.03144149999999646,Asia,Region_3,1
0.02685400000000092,North_America,Region_2,1
0.0924544999999877,Europe,Region_9,1
0.1298430000000007,Europe,Region_9,0
0.12002099999999943,Europe,Region_1,0
0.14833600000000136,Europe,Region_4,1
0.12011749999998304,Europe,Region_8,1
0.1378535000000038,Europe,Region_4,0
0.09656149999998923,Europe,Region_4,1
0.11160400000000228,Europe,Region_6,0
0.14037650000000568,Europe,Region_2,0
0.16939399999998983,Europe,Region_6,0
0.08993100000001454,Europe,Region_2,1
0.06773800000000064,Europe,Region_2,1
0.17427349999997171,Europe,Region_2,1
0.025780000000001024,Asia,Region_3,1
0.12936350000001084,Europe,Region_1,1
0.0981240000000003,Europe,Region_2,0
0.06994450000000996,Africa,Region_5,1
0.316848500000036,Africa,Region_4,0
0.1591340000000141,Europe,Region_6,0
0.13611850000002407,Europe,Region_4,1
0.158947000000008,Europe,Region_6,0
0.056986500000008454,Europe,Region_4,1
0.012887999999997188,South_America,Region_6,1
0.1090189999999908,Africa,Region_8,1
0.14068250000002017,Africa,Region_5,0
0.06252499999999883,Africa,Region_4,1
0.16424400000002076,Europe,Region_6,1
0.22240350000002984,Europe,Region_6,0
0.11619300000000474,Europe,Region_6,1
0.13674100000001913,Europe,Region_9,1
0.0739165000000006,Asia,Region_6,1
0.12939099999999,Europe,Region_1,1
0.11337449999999194,Europe,Region_1,1
0.10068549999999855,Europe,Region_1,1
0.024008499999998628,Asia,Region_6,1
0.13545899999998212,Europe,Region_8,0
0.15418150000000863,Europe,Region_6,0
0.08262900000000972,Europe,Region_5,1
0.1405499999999988,Europe,Region_4,0
0.10643949999998978,Europe,Region_6,1
0.06997199999999944,Europe,Region_8,1
0.07718300000000469,North_America,Region_4,0
0.07127750000000686,Europe,Region_4,1
0.13432949999999513,Africa,Region_3,1
0.13022900000000298,Africa,Region_4,1
0.08360449999998776,Africa,Region_2,1
0.08087149999999133,Africa,Region_9,1
0.10900199999998736,Africa,Region_4,1
0.1033245000000174,North_America,Region_6,0
0.02885299999999848,Africa,Region_9,1
0.1370324999999833,Africa,Region_2,0
0.19805199999999057,Africa,Region_4,0
0.10819350000001293,Africa,Region_9,0
0.12834449999997924,Asia,Region_1,0
0.08057200000000334,Asia,Region_9,1
0.1431655000000085,Africa,Region_1,1
0.09796000000000646,Africa,Region_6,1
0.12396999999997854,Africa,Region_6,0
0.05543900000001299,Africa,Region_4,0
0.07416449999998904,Europe,Region_4,0
0.05480799999999304,Europe,Region_6,1
0.017354999999997265,Asia,Region_7,1
0.034968000000000846,Asia,Region_4,1
0.05608999999999814,Asia,Region_9,0
0.04061400000000365,Asia,Region_9,1
0.04680100000000126,Asia,Region_6,1
0.0705285000000051,Asia,Region_4,0
0.18382800000000019,Africa,Region_9,0
0.10232250000000251,Asia,Region_1,1
0.07302149999999208,Asia,Region_5,0
0.03752850000000701,Africa,Region_4,1
0.06231250000000928,Africa,Region_2,0
0.04369750000000758,Africa,Region_6,1
0.05586050000000422,Oceania,Region_4,1
0.07791650000000862,Asia,Region_9,1
0.05852749999999862,Asia,Region_2,0
0.03665150000000365,Africa,Region_5,1
0.03130450000000572,Africa,Region_1,1
0.0512094999999952,Africa,Region_2,1
0.041956500000009236,Asia,Region_10,1
0.053487500000005336,Asia,Region_5,0
0.10049950000000837,Asia,Region_4,1
0.02643000000000273,Asia,Region_5,1
0.0816190000000127,Asia,Region_1,1
0.058331000000014774,Asia,Region_6,1
0.05937150000000455,Asia,Region_2,1
0.050666499999996756,Asia,Region_5,1
0.03018400000000209,Asia,Region_2,1
0.023857000000001193,Asia,Region_7,1
0.015187499999998926,Asia,Region_5,1
0.02448649999999645,Asia,Region_4,1
0.036807999999993804,Asia,Region_2,1
0.015716000000002367,Asia,Region_1,1
0.05407049999999912,Asia,Region_4,1
0.05130200000000194,Asia,Region_3,1
0.036064500000001484,Asia,Region_3,1
0.03189549999999741,Asia,Region_5,1
0.031503500000007505,Asia,Region_5,1
0.018747999999998072,Asia,Region_2,1
0.12311900000000471,Asia,Region_9,0
0.040638000000001014,Asia,Region_2,1
0.023394499999996397,Asia,Region_3,1
0.035905999999994845,Asia,Region_2,1
0.052263499999998644,Asia,Region_10,1
0.03924750000000039,Asia,Region_3,1
0.023201999999998515,Asia,Region_6,1
0.058386000000006266,Asia,Region_2,1
0.04654000000000312,Asia,Region_9,1
0.03782349999999282,Asia,Region_9,1
0.0932500000000081,Asia,Region_7,1
0.08523949999999533,Asia,Region_4,0
0.04877400000000036,Asia,Region_1,1
0.029203999999995733,Asia,Region_8,1
0.027932499999999187,Asia,Region_6,1
0.05894150000000264,Asia,Region_5,1
0.08342549999999946,Asia,Region_6,0
0.04960749999999433,Asia,Region_10,1
0.07856249999998945,Asia,Region_4,1
0.050756000000003854,Europe,Region_3,1
0.03652550000000357,North_America,Region_5,1
0.0889764999999976,Europe,Region_2,1
0.07456850000001453,Asia,Region_9,0
0.0781789999999941,Asia,Region_9,0
0.049630499999995026,Asia,Region_4,1
0.06997799999999596,Asia,Region_1,1
0.05253500000000007,Asia,Region_2,0
0.15551900000001653,Europe,Region_2,0
0.1755305000000052,Europe,Region_2,0
0.15599249999998943,Europe,Region_8,0
0.13184950000000414,Europe,Region_2,1
0.1389204999999856,Europe,Region_2,1
0.19947750000003014,Europe,Region_2,0
0.07539999999998928,Europe,Region_4,1
0.04582149999999143,Asia,Region_1,1
0.11252349999999159,Europe,Region_2,0
0.09414499999998419,Europe,Region_9,1
0.09124249999999727,Europe,Region_2,0
0.10874400000000184,Europe,Region_2,0
0.10615799999999764,Europe,Region_2,1
0.10985299999998968,Europe,Region_3,1
0.06807100000000098,Asia,Region_4,0
0.07080700000000066,North_America,Region_9,1
0.07659199999999772,North_America,Region_9,0
0.1012360000000144,Europe,Region_4,0
0.07557350000001094,Europe,Region_4,1
0.032292499999998336,Europe,Region_2,1
0.0529715000000084,Europe,Region_9,1
0.04154600000000014,Asia,Region_4,1
0.06544250000000232,Europe,Region_3,1
0.06486200000000392,Asia,Region_3,0
0.06952050000000898,Europe,Region_4,0
0.031746500000002016,Europe,Region_3,1
0.06744750000000457,Europe,Region_2,1
0.07487150000000875,Asia,Region_9,0
0.10886949999998353,Europe,Region_5,0
0.05886400000000389,Europe,Region_9,1
0.08620850000000199,Europe,Region_9,1
0.05970300000000768,Oceania,Region_7,1
0.07218649999999169,Europe,Region_9,0
0.03597050000000789,Asia,Region_6,1
0.03626700000000159,Asia,Region_9,1
0.17045799999999306,Europe,Region_9,0
0.11432549999999311,Europe,Region_9,0
0.04796299999999708,Europe,Region_3,0
0.06755749999999472,Europe,Region_9,0
0.15471299999997482,Europe,Region_2,0
0.12385849999997786,Europe,Region_2,1
0.12382700000001408,Europe,Region_2,0
0.1750279999999929,Europe,Region_9,0
0.059419500000012324,Europe,Region_5,1
0.037111499999996175,Europe,Region_10,1
0.18030950000000806,Europe,Region_2,0
0.12528499999998371,Europe,Region_4,1
0.11158649999999036,Europe,Region_2,1
0.14220450000001206,Africa,Region_9,0
0.12441800000001116,Africa,Region_2,0
0.14271899999999557,Africa,Region_2,1
0.006692000000001231,Oceania,Region_3,1
0.0528429999999969,Oceania,Region_6,1
0.033524500000001255,Oceania,Region_6,1
0.024202000000000966,Oceania,Region_3,1
0.058349000000003454,Oceania,Region_3,0
0.155143499999993,Oceania,Region_3,0
0.13666250000001695,Africa,Region_2,0
0.06012350000000485,Asia,Region_10,1
0.0340854999999992,Africa,Region_5,1
0.13174000000002212,Africa,Region_9,0
0.13061650000000452,Africa,Region_4,0
0.11384449999999205,Asia,Region_4,0
0.1171125000000155,Asia,Region_10,1
0.10478849999998822,Europe,Region_2,0
0.08461150000000114,Asia,Region_9,0
0.14350549999999032,Africa,Region_8,0
